Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Ilość
8;Terminy:select:1;13'00 13.01:0;130
8;Terminy:select:1;18'00 13.01:1;130
9;Terminy:select:1;10'15 14.01:0;130
9;Terminy:select:1;12'30 14.01:1;130
9;Terminy:select:1;16'30 14.01:2;130
9;Terminy:select:1;12'30 15.01:3;130
9;Terminy:select:1;16'30 15.01:4;130
9;Terminy:select:1;12'30 16.01:5;130
9;Terminy:select:1;16'30 16.01:6;130
9;Terminy:select:1;10'15 17.01:7;130
9;Terminy:select:1;12'30 17.01:8;130
9;Terminy:select:1;16'30 17.01:9;130
9;Terminy:select:1;10'15 18.01:10;130
9;Terminy:select:1;12'30 18.01:11;130
9;Terminy:select:1;16'30 18.01:12;130
9;Terminy:select:1;10'15 19.01:13;130
9;Terminy:select:1;12'30 19.01:14;130
9;Terminy:select:1;16'30 19.01:15;130
9;Terminy:select:1;10'15 20.01:16;130
9;Terminy:select:1;12'30 20.01:17;130
9;Terminy:select:1;16'30 20.01:18;130
10;Terminy:select:1;18'40 14.01:0;130
10;Terminy:select:1;20'45 14.01:1;130
10;Terminy:select:1;18'40 15.01:2;130
10;Terminy:select:1;20'45 15.01:3;130
10;Terminy:select:1;18'40 16.01:4;130
10;Terminy:select:1;20'45 16.01:5;130
10;Terminy:select:1;18'40 17.01:6;130
10;Terminy:select:1;20'45 17.01:7;130
10;Terminy:select:1;18'40 18.01:8;130
10;Terminy:select:1;20'45 18.01:9;130
10;Terminy:select:1;18'40 19.01:10;130
10;Terminy:select:1;20'45 19.01:11;130
10;Terminy:select:1;18'40 20.01:12;130
10;Terminy:select:1;20'45 20.01:13;130
11;Terminy:select:1;10'00 15.01:0;130
11;Terminy:select:1;15'30 15.01:1;130
11;Terminy:select:1;10'00 16.01:2;130
11;Terminy:select:1;15'30 16.01:3;130
12;Terminy:select:1;10'30 16.01:0;130
13;Terminy:select:1;18'00 17.01:0;130
14;Terminy:select:1;13'00 20.01:0;130
14;Terminy:select:1;18'00 20.01:1;130
15;Terminy:select:1;12'00 12.01:0;130
15;Terminy:select:1;11'00 12.01:1;130
15;Terminy:select:1;13'10 12.01:2;130
15;Terminy:select:1;14'00 12.01:3;130
15;Terminy:select:1;14'40 12.01:4;130
15;Terminy:select:1;15'30 12.01:5;130
15;Terminy:select:1;16'20 12.01:6;130
15;Terminy:select:1;17'00 12.01:7;130
15;Terminy:select:1;17'50 12.01:8;130
15;Terminy:select:1;18'40 12.01:9;130
15;Terminy:select:1;19'20 12.01:10;130
15;Terminy:select:1;21'00 12.01:11;130
15;Terminy:select:1;21'40 12.01:12;130
15;Terminy:select:1;14'50 13.01:13;130
15;Terminy:select:1;15'30 13.01:14;130
15;Terminy:select:1;16'10 13.01:15;130
15;Terminy:select:1;17'00 13.01:16;130
15;Terminy:select:1;17'50 13.01:17;130
15;Terminy:select:1;18'30 13.01:18;130
15;Terminy:select:1;19'20 13.01:19;130
15;Terminy:select:1;20'50 13.01:20;130
15;Terminy:select:1;21'40 13.01:21;130
15;Terminy:select:1;10'00 14.01:22;130
15;Terminy:select:1;11'00 14.01:23;130
15;Terminy:select:1;12'20 14.01:24;130
15;Terminy:select:1;13'20 14.01:25;130
15;Terminy:select:1;14'40 14.01:26;130
15;Terminy:select:1;15'40 14.01:27;130
15;Terminy:select:1;17'00 14.01:28;130
15;Terminy:select:1;18'00 14.01:29;130
15;Terminy:select:1;19'20 14.01:30;130
15;Terminy:select:1;20'20 14.01:31;130
15;Terminy:select:1;21'40 14.01:32;130
15;Terminy:select:1;10'00 15.01:33;130
15;Terminy:select:1;12'20 15.01:34;130
15;Terminy:select:1;14'40 15.01:35;130
15;Terminy:select:1;15'40 15.01:36;130
15;Terminy:select:1;17'00 15.01:37;130
15;Terminy:select:1;18'00 15.01:38;130
15;Terminy:select:1;19'20 15.01:39;130
15;Terminy:select:1;20'20 15.01:40;130
15;Terminy:select:1;21'40 15.01:41;130
15;Terminy:select:1;12'20 16.01:42;130
15;Terminy:select:1;13'50 16.01:43;130
15;Terminy:select:1;14'30 16.01:44;130
15;Terminy:select:1;16'50 16.01:45;130
15;Terminy:select:1;18'30 16.01:46;130
15;Terminy:select:1;19'20 16.01:47;130
15;Terminy:select:1;20'20 16.01:48;130
15;Terminy:select:1;21'40 16.01:49;130
15;Terminy:select:1;10'00 17.01:50;130
15;Terminy:select:1;11'00 17.01:51;130
15;Terminy:select:1;12'20 17.01:52;130
15;Terminy:select:1;13'20 17.01:53;130
15;Terminy:select:1;14'40 17.01:54;130
15;Terminy:select:1;15'40 17.01:55;130
15;Terminy:select:1;17'00 17.01:56;130
15;Terminy:select:1;17'45 17.01:57;130
15;Terminy:select:1;19'20 17.01:58;130
15;Terminy:select:1;20'20 17.01:59;130
15;Terminy:select:1;21'40 17.01:60;130
15;Terminy:select:1;10'00 18.01:61;130
15;Terminy:select:1;11'00 18.01:62;130
15;Terminy:select:1;12'20 18.01:63;130
15;Terminy:select:1;13'20 18.01:64;130
15;Terminy:select:1;14'40 18.01:65;130
15;Terminy:select:1;15'40 18.01:66;130
15;Terminy:select:1;17'00 18.01:67;130
15;Terminy:select:1;18'00 18.01:68;130
15;Terminy:select:1;19'20 18.01:69;130
15;Terminy:select:1;20'20 18.01:70;130
15;Terminy:select:1;21'40 18.01:71;130
15;Terminy:select:1;10'00 19.01:72;130
15;Terminy:select:1;11'00 19.01:73;130
15;Terminy:select:1;12'20 19.01:74;130
15;Terminy:select:1;13'20 19.01:75;130
15;Terminy:select:1;14'40 19.01:76;130
