Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Ilość
1;Terminy:select:1;13'00 25.11:0;130
1;Terminy:select:1;18'00 25.11:1;130
2;Terminy:select:1;11'45 25.11:0;130
2;Terminy:select:1;19'20 25.11:1;130
2;Terminy:select:1;15'30 26.11:2;130
2;Terminy:select:1;15'30 27.11:3;130
2;Terminy:select:1;15'30 28.11:4;130
2;Terminy:select:1;14'15 29.11:5;130
2;Terminy:select:1;15'30 30.11:6;130
2;Terminy:select:1;15'30 01.12:7;130
2;Terminy:select:1;14'20 02.12:8;130
3;Terminy:select:1;14'15 25.11:0;130
3;Terminy:select:1;20'20 25.11:1;130
4;Terminy:select:1;11'10 25.11:0;130
4;Terminy:select:1;17'30 25.11:1;130
4;Terminy:select:1;10'15 26.11:2;130
4;Terminy:select:1;16'45 26.11:3;130
4;Terminy:select:1;10'50 27.11:4;130
4;Terminy:select:1;16'45 27.11:5;130
4;Terminy:select:1;10'45 28.11:6;130
4;Terminy:select:1;16'45 28.11:7;130
4;Terminy:select:1;10'45 29.11:8;130
4;Terminy:select:1;16'45 29.11:9;130
4;Terminy:select:1;11'15 30.11:10;130
4;Terminy:select:1;16'45 30.11:11;130
4;Terminy:select:1;12'45 01.12:12;130
4;Terminy:select:1;17'00 01.12:13;130
4;Terminy:select:1;11'40 02.12:14;130
4;Terminy:select:1;16'45 02.12:15;130
5;Terminy:select:1;10'40 25.11:0;130
5;Terminy:select:1;14'00 25.11:1;130
5;Terminy:select:1;17'00 25.11:2;130
5;Terminy:select:1;10'00 26.11:3;130
5;Terminy:select:1;13'50 26.11:4;130
5;Terminy:select:1;16'10 26.11:5;130
5;Terminy:select:1;10'00 27.11:6;130
5;Terminy:select:1;16'10 27.11:7;130
5;Terminy:select:1;13'40 28.11:8;130
5;Terminy:select:1;16'10 28.11:9;130
5;Terminy:select:1;13'40 29.11:10;130
5;Terminy:select:1;16'10 29.11:11;130
5;Terminy:select:1;9'45 29.11:12;130
5;Terminy:select:1;13'50 30.11:13;130
5;Terminy:select:1;16'10 30.11:14;130
5;Terminy:select:1;11'40 01.12:15;130
5;Terminy:select:1;16'15 01.12:16;130
5;Terminy:select:1;10'00 02.12:17;130
5;Terminy:select:1;13'45 02.12:18;130
5;Terminy:select:1;16'10 02.12:19;130
6;Terminy:select:1;15'20 25.11:0;130
6;Terminy:select:1;18'45 25.11:1;130
6;Terminy:select:1;21'20 25.11:2;130
6;Terminy:select:1;21'00 26.11:3;130
6;Terminy:select:1;21'00 27.11:4;130
6;Terminy:select:1;21'00 28.11:5;130
6;Terminy:select:1;21'00 29.11:6;130
6;Terminy:select:1;21'00 30.11:7;130
